,quote,author,categories
1392,펜보다 더 깊은 상처를 줄 수 있는 것은 없다. 펜은 산 사람을 죽이고 죽은 사람을 살린다.,테일러,"펜(pen), 언론, 문학"
1393,"열쇠가 상자를 열듯이, 문학은 마음을 연다.",J. 하우얼,문학
1394,"타인을 감동시키려면 먼저 자기가 감동하지 않으면 안된다. 그렇지 못하면 제아무리 우수한 작품일지라도, 생명이 길지 못하다.",밀레,"작품, 감동"
1395,위대한 시인의 작품은 아직도 인류에게 읽힌 적이 없다. 위대한 시인만이 그것을 읽을 수 있기 때문이다.,솔로,"시인, 작품"
1396,"독서는 풍부한 사람을, 대화는 재치있는 사람을, 글을 쓰는 것은 정확한 사람을 만든다.",베이컨,독서
1397,위대한 시인은 자신을 쓰면서 자기 시대를 그린다.,엘리어트,시인
1398,"일단 문학의 가려움증이 사람에게 생기면, 펜으로 긁어 주는 것 이외에는 치료할 수 있는 것이 없다.",러버,"문학, 펜(pen)"
1399,붓은 마음의 혀이다.,세르반테스,"붓(pen), 필기구"
1400,쓰여진 모든 것 중에서 나는 오직 저자가 그의 피로 쓴 것만을 사랑한다.,니체,"책(book), 심혈"
1401,예술은 우리에게 타인의 내면 생활을 알게 함으로써 경험을 넓혀준다.,리프만,예술
1402,방황과 변화를 사랑한다는 것은 살아 있다는 증거이다.,바그너,"방황, 변화, 삶"
1403,다른 사람이 쓴 책을 읽는 일로 시간을 보내라. 다른 사람이 고생한 것을 보고 배우는 것으로써 쉽게 자기를 개선시킬 수 있다.,소크라테스,"독서, 자기계발"
1404,시는 선(禪)과 같다. 그것은 깨달음에 있기 때문이다.,히로세 단소,시(poetry)
1405,술은 인격을 반사하는 거울이다.,아르케시우스,"술(alcohol), 음주"
1406,"사람들은 비평해 주기를 요구하지만, 그들은 칭찬해 주기를 바랄 뿐이다.",서머셋 모옴,"비평, 칭찬, 인생살이"
1407,술을 마시고 생각해낼 수 있는 것은 아무것도 없다. 오직 떠들고 지껄이는 것밖에는.,실러,"술(alcohol), 음주"
1408,음주는 인간을 배고프게 한다. 그렇지 않으면 거짓말을 하게 한다.,윌킨즈,음주
1409,담배를 태우는 사람은 현자처럼 생각하고 사미리아 사람처럼 행동한다.,E. B. 리튼,"담배, 흡연"
1410,연애란 매춘과 같은 취향이다. 더욱이 제아무리 고상한 쾌락일지라도 매춘으로 환원시키지 못할 것은 없다.,C.P. 보들레르,연애란
1411,인간이 사랑을 시작했을 때 비로소 삶이 시작된 것이다.,G. 스퀴데리,"인간, 사랑, 삶"
1412,아내감을 찾아보려고 나설 때는 눈을 집에 남겨두고 두 귀를 가져가라.,세이머스 매크마나스,"아내감, 결혼"
1413,연정이란 아름다운 소녀와의 첫 대면에서 시작되어 보조개가 곰보로 보일 때까지의 꿈과 같은 즐거운 기간을 말한다.,존 발리모어,"연정, 사랑"
1414,"오래 찾아야 하고, 잘 발견이 안되며, 유지하기도 힘든 것이 친구이다.",제롬,친구
1415,사랑은 천천히 오는 것. 얼어붙은 물 속으로 파고드는 밤하늘의 총총한 별처럼 지그시 송이송이 내려앉는 눈과도 같이.,G. 벤더빌트,사랑
1416,사랑이란 받는 것이 아니라 주는 것이다. 그것은 향락의 거친 꿈도 아니며 정욕의 광기도 아니다. 또한 사랑이란 선이고 명예이며 평화이고 깨끗한 삶이다.,반 다이크,사랑
1417,사랑하는 사람의 결점을 장점으로 볼 수 없는 사람에게는 진실된 사랑이란 없다.,괴테,"사랑, 결점"
1418,사랑은 파수를 맡아줄 친구를 가지려는 열망이다.,핼리팩스,사랑
1419,사랑이 있는 곳의 나물 반찬은 사랑이 없는 곳의 고기 반찬보다 낫다.,신약성서,"사랑, 반찬"
1420,친구는 서로 근심과 슬픔을 나눠야 하는 것이다.,셰익스피어,친구
1421,육체의 교섭이 사람을 결코 이롭게 하지는 않는다. 해를 주지 않았으면 그것으로 만족할 일이다.,에피쿠로스,"육체, 몸(body), 사랑"
1422,사랑은 계산하지 않는 것.,김대규,사랑
1423,맹인이 맹인의 손을 잡고 걷는다면 당연히 빠져들 구멍은 어디라고 생각하나? ‥‥‥결혼이야.,작자미상,결혼
1424,피차 사랑의 빚 이외에는 아무에게든지 아무 빚도 지지 말라. 남을 사랑하는 자는 율법을 다 이루었나니라.,성서,"빚(debt), 사랑"
1425,덕이 없는 아름다움은 향기 없는 꽃이다.,프랑스 격언,"아름다움, 덕(virtue)"
1426,우리의 삶에 있어서 정말로 사람을 놀라게 하고 평소에 생각 자체를 송두리체 바꾸어놓은 큰 사건이 있다. 그것이 바로 연애이다.,스티븐슨,연애
1427,나는 나의 모든 것이 갖고 싶다. 모든 것을 그녀와 나누어 갖기 위해서.,괴테,사랑
1428,사랑은 아무런 무기도 지니고 있지 않은 것처럼 꾸미고 있지만 실은 언제나 화살과 전통(箭筒)으로 몰래 몸을 단속하고 있는 것이다.,T. 타소,사랑
1429,"세상에는 세 가지 종류의 친구가 있다. 곧 자네를 사랑하는 친구, 자네를 망각하는 친구, 자네를 미워하는 친구.",샹포르,친구
1430,구해서 얻은 사랑은 좋은 것이다. 그러나 구하지 않고 얻은 것은 더 좋다.,셰익스피어,사랑
1431,결혼의 성공은 적당한 짝을 찾기에 있는 것보다도 적당한 짝이 되는 데 있다.,텐드우드,결혼
1432,사랑이 많으면 미움이 찾아든다.,일본 속담,"사랑, 미움"
1433,서로가 결코 배신하지 않겠다는 결혼서약의 말은 정말 무의미하고 쓸데없는 것이다. 그러나 동시에 이 말은 결혼에는 없어서는 안되는 것이다.,로버트 목사,결혼서약
1434,친구란 모든 것을 알고 있으면서도 사랑해주는 인간을 말한다.,엘버트 하버드,친구
1435,"연애편지-청년은 급하게 읽고, 장년은 차근차근 읽고, 노인은 읽고 또 읽는다.",A. 프레보,"연애편지, 청년, 장년, 노인"
1436,"친구를 믿으라, 그러나 지나치게 믿지는 말라.",독일 속담,친구
1437,첫사랑은 남자의 일생을 좌우한다.,앙드레 모루아,"첫사랑, 남자"
1438,너의 원수를 사랑하라.,성서,"사랑, 원수"
1439,"결혼한 여자의 정조를 한층 공고하게 하는 방법은 하나밖에 없다. 즉 그것은 처녀에게 자유를 주고, 결혼한 부부에게는 이혼을 허용하는 것이다.",스탕달,"결혼, 여자, 정조"
1440,우정! 이것으로 우리는 다른 사람과 서로 즐거운 마음으로 감격을 나누며 불행에 있어서도 도와주고 있다.,슈바이처,우정
1441,행복한 결혼이 극히 드문 까닭은 부인들이 망(網)을 만드는데 정신이 쏠려 바구니를 만드는 노력을 하지 않기 때문이다.,스위프트,"결혼, 아내"
1442,사랑의 본질은 정신의 불이다.,E. 스베텐보리,사랑
1443,"어버이를 사랑하는 자는 남을 미워하지 않고, 어버이를 존경하는 자는 남을 업신여기지 않는다.",공자,"어버이, 효도, 부모"
1444,어린이는 부모의 행위를 비춰 주는 거울이다.,스펜서,"어린이, 부모"
1445,가정은 도덕의 학교이다.,페스탈로찌,"가정, 도덕"
1446,"어머니와 같은 아내, 누이동생과 같은 아내, 친구와 같은 아내, 종과 같은 아내는 행실이 아름답고, 몸을 잘 제어해 머무르므로, 죽은 뒤에는 좋을 갚음을 얻는다.",불경,아내
1447,요람을 흔드는 손이 세계를 통치하는 손이다.,월리스,"통치, 어머니"
1448,"아비를 공경하는 것은 자기 죄를 벗는 것이며, 어미를 공경하는 것은 보화를 쌓아 올리는 것이다.",『집회서』,"아버지, 어머니"
1449,"어머니는 우리의 마음속에 열을 주고, 아버지는 빛을 준다.",장 파울,"어머니, 아버지"
1450,자식을 고귀하게 하는 것은 혈통이 아니라 정신이다.,독일 격언,"자식, 자녀, 혈통"
1451,가정의 애정은 모든 선량한 정부의 가장 유익한 근본이다.,B. 디즈레일리,"가정, 정부"
1452,자기 집에서 자기의 세계를 가지고 있는 사람보다 더 행복한 사람은 없다.,괴테,"가정, 행복"
1453,"가정은 행복을 저축하는 곳이오, 그것을 채굴하는 곳이 아니다. 얻기 위해 이루어진 가정은 반드시 무너질 것이오, 주기 위해 이루어진 가정만이 행복한 가정이다.",우치무라 간조,"가정, 행복"
1454,가족들이 서로 주고받는 미소는 기분이 좋다. 특히 서로의 마음을 신뢰하고 있을 때에는.,존 키이블,"가족, 미소"
1455,자기의 자식의 모든 것을 알고 있는 사람은 현명한 어버이이다.,셰익스피어,"부모, 자녀"
1456,"현대의 최대 불행의 하나는, 가정이 인간에게 깊은 만족을 주지 못하는 점이다.",러셀,"가정, 인간, 불행"
1457,사치로 자녀를 떠받드는 것은 그 자녀를 사랑하기 때문이다. 그러나 그 사랑이 마침내는 자녀를 해롭게 하는 원인이 된다.,이언적,"자녀, 사랑"
1458,모든 행복한 가족들은 서로 서로 닮은 데가 많다. 그러나 모든 불행한 가족은 그 자신의 독특한 방법으로 불행하다.,레프 톨스토이,"가족, 가정, 행복, 불행"
1459,가장이 확고히 지배하는 가족 안에는 다른 곳에서 볼 수 없는 평화가 깃든다.,괴테,"가장, 가족, 평화"
1460,가족에게 자상하지 않으면 헤어진 뒤에 후회한다.,주희,"가족, 후회"
1461,박애(博愛)도 자애(慈愛)도 먼저 가정에서부터 시작돼야 한다,C. 램,"가정, 사랑"
1462,자기가 이루지 못한 것을 아들로 하여금 실현케 하려는 것이 모든 어버이의 경건한 염원이다.,괴테,"어버이, 아버지, 어머니, 부모"
1463,인간은 자신이 필요로 하는 것을 찾아 세계를 여행하고 집에 돌아와 그것을 발견한다.,조지 무어,"인간, 가정"
1464,"가정이야말로 고달픈 인생의 안식처요, 모든 싸움이 자취를 감추고 사랑이 싹트는 곳이요, 큰 자가 작아지고 작은 자가 커지는 곳이다. 가정은 안심하고 모든 것을 맡길 수 있으며 서로 의지하고 사랑하며 사랑을 받는 곳이다.",허버트 조지 웰스,가정
1465,"행복을 얻는 유일한 방법은 행복 자체를 인생의 목적으로 삼지 말고, 행복 이외의 어떤 것을 인생의 목적으로 삼는데 있다.",존 스튜어트 밀,"행복, 인생"
1466,즐거움을 기대하는 것 또한 하나의 즐거움이다.,레싱,"즐거움, 기대"
1467,"남자에겐 피워 물수있는 파이프 하나, 읽을 만한 책을 한 권 허락하여라. 그러면 방은 비록 누추하더라도 가정은 온화한 기쁨으로 밝아지리라.",J. 톰슨,"남자, 가정"
1468,"사람이 도를 닦는 것이지, 도가 사람을 닦는 것은 아니니라.",공자,"사람, 도(道), 도(tao)"
1469,"대리석의 방바닥과 금을 박은 담벽이 가정을 만드는 것도 아니다. 어느 집이든지 사랑이 깃들고, 우정이 손님이 되는 그런 집은 행복된 가정이다.",반 다이크,가정
1470,"조상을 받드는 것은 정성과 공경을 으뜸으로 해야 하고 물질적 사치는 귀하게 여기지 말아야 하며, 조상이 전한 일은 그 뒤를 잘 이어 나가야 하고, 늘 게을러질까 근심해야 할 것이다.",이덕흥,조상
1471,역사를 통해 가족이라는 단위는 인류 활동의 기본 척도였다.,토인비,"가족, 인류"
1472,행복에게는 날개가 있다. 붙들어 두기란 어려운 것이다.,쉴러,행복
1473,"여러 자손들은 종가집 아들을 공경하고 섬겨, 혹시라도 이에 태만해서는 안 된다. 만약 이에 태만하는 사람이 있으면 곧 그 조상을 공경하는 데 태만한 것과 다름이 없는 것이다.",동언당법,"조상, 자손, 종가집"
1474,첫사랑이 엮어내는 꿈이 단 것은 나무에 피는 꽃 보다도 더 빨리 시들고 떨어져 버리기 때문이다.,가이벨,첫사랑
1475,인생은 일방통행의 길이다.,버너스 베렌슨,인생
1476,당신의 가슴이 찢어지는 듯한 일을 당했다 해도 사람들은 같은 일을 여전이 되풀이한다는 것을 생각하라.,아우렐리우스,"사람, 본성"
1477,남자가 여자를 보면 여자는 부끄럽다는 듯이 고개를 수그리지만 하얀 정강이를 살짝 들어내 보인다.,카마수트라,"남자, 여자"
1478,연애하는 여자는 언제나 참말을 하지만 완전히 참말을 하는 것은 아니다.,이탈리아 속담,"연애, 여자"
1479,여자의 결점을 알자면 그녀의 여자친구 앞에서 그녀를 칭찬해 보라.,프랭클린,"여자, 결점, 칭찬"
1480,비열한 행위를 두려워하는 것은 용기이다.,존슨,용기
1481,인생은 짧다! 무슨 일이든지 이성과 양심이 명하는 길에 따라 하도록 힘쓰고 여러 사람의 행복을 위해서 마음을 쓰라! 그것이 인생의 가장 값있는 열매이다.,아우렐리우스,인생
1482,남자는 여자의 친구일 수 없다. 달리 사랑하는 여자가 있을 경우를 제외하고는.,릴리,"남자, 여자, 친구"
1483,"인생은 연극과 같다. 훌륭한 배우가 걸인도 되고, 삼류배우가 대감이 될 수도 있다. 어쨌든 지나치게 인생을 거북하게 생각하지 말고 솔직하게 어떤 일이든지 열심히 하라.",후쿠자와 유키치,인생
1484,인간을 제대로 이해하는 방법은 한 가지밖에는 없다. 그것은 그들을 판단하는데 결코 서둘지 말것.,생트 뵈브,인간
1485,여자란 제아무리 마음이 위를 향하고 있을 때도 모든 것을 제처놓고 넥타이에 시선이 머무는 것이다.,룩셈부르크,여자
1486,"차가운 침대에 누워라. 그리고 그 파아란 촉감을 느껴라. 침대는 차차 훈훈해지고 어둠이, 밤의 침묵이 그대를 덮을 것이다. 두 눈을 감고 그대 자신을 느껴라. 더 이상 무엇이 필요하단 말인가? 아! 너무 벅차구나. 깊은 감사의 마음이 솟아난다. 이것이 휴식이다. 휴식이란 지금 이 순간이 그 어떤 기대나 요구보다도 충만함을 의미한다.",라즈니쉬,휴식
1487,세상에는 귀여운 많은 여성이 있다. 그러나 완전한 여성은 하나도 없다.,위고,여성
1488,여성은 남성보다 현명하다. 제대로 배우지 못한 주제에 이해력은 충분이 가졌다.,스티븐스,"여성, 남성"
1489,"노력하지 않고 얻을 것을 원하는 것은 의지가 박약함을 보여주는 것이며, 일체의 것은 댓가를 치루고야 얻어진다는 것을 깨닫는 것은 성공의 대비결이다.",서양격언,성공
1490,여자의 눈물을 보고 이를 믿지 말라. 왜냐하면 마음대로 되지 않을 때에 우는 것은 여자의 천성이기 때문이다.,소크라테스,"여자, 눈물"
1491,"인생이란 대단히, 대단히 중요한 것이다. 진지한 표정으로 거론할 수 있는 그런 하찮은 것이 아니다.",와일드,인생
1492,한가로운 시간은 무엇과도 바꿀 수 없는 재산이다.,소크라테스,"시간, 휴식, 여유"
1493,여자가 남자에 관해서 잘 안다고 말하는 경우 그녀가 알고 있는 것은 남자의 악한 면이다. 남자에 대한 지식이란 대다수의 여자의 경우 어느 악한(惡漢)에 대한 지식이다.,무어,"여자, 남자"
1494,인생은 너무나도 복잡하여 우리가 가진 지식의 현상에서 이해할 수 있는 한도에서는 고정된 학설의 테두리에 가두어 두기에는 너무나도 비논리적이다.,네루,인생
1495,어느 날 옷을 벗고 선인장 위에 뛰어내린 놈이 있었다. 왜 그런 짓을 했느냐고 물었더니 사나이는 대답했다 - 그때는 그것이 살수있는 방책이라고 생각했기 때문이라고.,『황야의 7인』,인생살이
1496,"남자는 인생을 너무 빨리 알고, 여자는 너무 늦게 안다.",와일드,"남자, 여자, 인생"
1497,남자에게 가장 좋은 날이 일생에 두 번 있다. 장가 가는 날과 아내를 무덤에 묻는 날.,프랑스 속담,"남자, 아내"
1498,"이 세상에서 가장 빛나는 것이면서도 가장 망가지기 쉬운 것의 하나는 여인의 얼굴이고, 하나는 도자기이다.",스위프트,"여인, 여자, 얼굴, 도자기"
1499,밧줄을 바늘귀에다 꿰기보다 여성을 침묵시키기가 더 어렵다.,코체부,"여성, 말(words), 침묵, 수다"
1500,인생은 꼬리와 같은 것이다. 얼마나 긴가가 아니라 어떻게 좋은가가 중요한 것이다.,세네카,인생
1501,자신의 인생이 중년기에 왔다는 것을 남자는 먼저 자기 아내의 용모에서 깨닫게 된다.,리차드 아머,"중년기, 남자, 아내"
1502,소심하고 용기가 없는 인간에 있어서는 일체의 일이 불가능한 것이다. 왜냐하면 일체가 불가능해 보이기 때문이다.,스코트,"소심, 용기, 인간"
1503,여자란 상대방 여자의 성격을 분석하고 해독할 절차를 생략하고 순간적으로 간파해 버린다.,벤 존슨,여자
1504,"한 해의 끝이 다가온다. 나는 만족스러운 기분에 젖는다. 완성은 휴식이다. 휴식은 새로움이고, 새로움은 새로운 시작을 의미한다.",도교,"완성, 휴식, 시작"
1505,지성적인 여자는 감정적인 여자처럼 우리의 흥미를 끌지 못하는데 흰장미는 붉은장미보다 덜 흥미롭기 때문이다.,홈즈,"여자, 흥미, 장미"
1506,우리는 연애가 따분해지면 상대방의 부정을 은근히 바란다. 이편도 그 연애에서 해방되고 싶어서.,라 로슈푸코,"연애, 권태기"
1507,인생은 왕복차표를 발행하지 않는다. 일단 떠나면 다시는 돌아오지 못한다.,로맹 롤랑,인생
1508,"죽음, 그것은 길고 싸늘한 밤에 불과하다. 그리고 삶, 그것은 무더운 낮에 불과하다.",하이네,"죽음, 삶"
1509,죽음은 사람을 슬프게 한다. 삶의 3분의 1을 잠으로 보내는 주제에.,바이런,"죽음, 잠(sleep)"
1510,신에게 감사한다. 나는 내 의무를 다했다.,넬슨,"죽음, 의무"
1511,하나님을 안다는 것에서 하나님을 사랑하는 것까지는 얼마나 먼 거리일까!,파스칼,"하나님, 신(god)"
1512,악마는 우리들을 유혹하지 않는다. 그를 유혹하는 것은 우리들인 것이다.,엘리어트,"악마, 유혹"
1513,왜 죽음을 두려워 하는가? 죽음은 인생의 가장 아름다운 모험이다.,C. 푸로우먼,죽음
1514,우리는 단지 소작인에 불과하다. 조만간에 대지주는 계약기간이 만기되었음을 통보할 것이다.,죠셉 제퍼슨,"죽음, 인간"
1515,하나님은 큰 나라를 보면 싫증을 내지만 가냘픈 꽃을 보면 조금도 싫어하는 법이 없다.,타고르,"하나님, 신(god)"
1516,하나의 모래알에서 세계를 보고 한송이 들꽃에서 천국을 보라.,윌리엄 블레이크,"세계, 천국, 우주"
1517,"죽음은 지나가는 모든 산들바람을 타고 와 모든 꽃속에 숨는다. 각 계절은 각기 병(病)을 갖고 있고, 매시간마다 위험이 있다.",히 버,"죽음, 계절"
1518,이삭이 익으면 거둬들이듯이 인생도 거둬들여져야 한다. 한 사람은 태어나고 다른 한 사람은 죽는다.,아우렐리우스,"인생, 탄생, 죽음"
1519,가장 훌륭한 죽음은 미리 생각하지 않았던 죽음이다.,몽테뉴,죽음
1520,삶도 모르는데 어찌 죽음을 알겠는가?,공자,"삶, 죽음"
1521,죽음은 위대한 의사이다. 어떤 견디기 어려운 슬픔도 치료해 준다.,아이스킬로스,"죽음, 슬픔, 의사"
1522,"죽음은 한 순간이며, 삶은 많은 순간이다.",윌리엄즈,"죽음, 삶, 순간"
1523,사후의 명성에 대해서 강한 집착을 갖는 사람은 곧 죽게 된다는 것을 생각하지 못하는 사람이다.,아우렐리우스,"죽음, 명성"
1524,우리들은 죽음의 영역에 가까이 있다.,『법구경』,"죽음, 삶"
1525,이 세상에서 육체는 아직 행복하지 않았는데 영혼이 먼저 행복하다면 수치이다.,아우렐리우스,"죽음, 육체, 영혼"
1526,나는 죽는다.,체호프,죽음
1527,무신론은 인간의 마음보다는 입술에 있다.,베이컨,무신론
1528,우리에게는 이미 종교는 없다. 영원의 낙원과 지옥과의 신의 율법은 처세 철학의 법칙으로 대치되었다. 이 철학은 선행과 도덕감에 의해 주어지는 기쁨에 대해서는 거의 존경의 태도를 보이지 않는다. 그리고 이해득실만을 그 바탕으로 삼고 있다.,칼라일,"종교, 철학"
1529,마음보다 더 잔인한 무기는 없다.,장자,마음
1530,선을 행하기 위해서는 노력이 필요하다. 그러나 악을 제거하기 위해서는 더 한층 큰 노력이 필요하다.,톨스토이,"선(good), 선행, 악(evil), 노력"
1531,바로 이것이 죽음이군-좋아.,칼라일,죽음
1532,"사람의 죽음은, 죽는 사람 자신보다는 생존자의 문제이다.",만,죽음
1533,보통 사람들은 기도하지 않고 구걸할 뿐이다.,버나드 쇼,기도
1534,죽음은 인생의 종말인 동시에 완성의 순간이다. 인생의 벌이 아니라 인생의 새로운 탄생이다. 우리 개인이 이미 만족과 시대의 흐름 속에서 생을 얻는 것이라는 점에서 그 바톤을 넘기고 새로운 생명을 불러 일으키는 소리인 것이다.,칸트,죽음
1535,하루는 영원의 축소판이다.,에머슨,"하루, 영원"
1536,착한 행동이란 나쁜 행동을 삼가는 것이 아니라 나쁜 행동을 바라지 않는 것이다.,버나드 쇼,"선행, 악행"
1537,자살은 비겁한 행위이다.,나폴레옹,자살
1538,개미처럼 멋진 설교를 하는 것은 없다. 그러면서도 한 마디도 말을 하지 않는다.,프랭클린,"설교, 개미, 말(words)"
1539,죽음을 두려워 하지 않는자에게 무엇을 두려워하라고 하는가.,쉴러,"죽음, 두려움"
1540,"종교 없는 과학은 절름발이며, 과학 없는 종교는 장님이다.",알버트 아인슈타인,"종교, 과학"
1541,산다는 것은 죽는 것이다. 옳게 산다는 것은 옳게 죽는다는 것이다. 그러므로 옳게 죽기 위해서 노력하지 않으면 안 된다.,톨스토이,"삶, 죽음"
1542,종교를 믿도록 강요하는 것은 종교의 역할이 아니다.,라에르티우스,종교
1543,죽음 그 자체보다 죽음의 수반물이 사람을 더 두려워하게 만든다.,세네카,죽음
1544,대지가 자신이 키운 아름다운 식물에 의해서 장식되는 것처럼 세계는 그의 마음속에 신이 살고 있는 사랑에 의해 장식된다.,프라나,"대지, 땅(land), 세계, 자기자신, 사랑"
1545,"미신은 온 세상을 불길에 싸이게 하고, 철학은 그 불을 끈다.",볼테르,"미신, 철학"
1546,자유를 사랑하는 것은 타인을 사랑하는 것이다. 권력을 사랑하는 것은 자신을 사랑하는 것이다.,윌리엄 해즐릿,"자유, 권력"
1547,"자유가 서식하는 곳, 그곳이 나의 고향이다.",프랭클린,자유
1548,"우리의 첫째 의무는 우리 자신의 자유를 수호하고, 또한 세계의 모든 자유를 위해서 힘쓰는 데 있다.",트루만,자유
1549,"가장 적게 정치하는 정부가 가장 좋은 정부라는 진리는 18세기에 속하며, 그리고 가장 많이 공급해 주는 정부가 가장 좋은 정부라는 진리는 20세기에 속한다.",윌터 리프만,"정부, 정치, 복지"
1550,적의(敵意) 있는 신문이 네 개 있으면 천 개의 총검보다도 두렵다.,나폴레옹,"신문, 언론"
1551,"모든 나라에서 자유가 꽃 피지 않는 한, 어떤 한 나라에서만 꽃 필 수는 없다.",J. 케네디,"자유, 국가"
1552,그리스도께서 우리를 자유케 하려고 자유를 주셨으니 그러므로 굳세게 서서 다시는 종의 멍에를 메지 말라.,신약 갈라디아 서,자유
1553,올바른 자유를 얻어 하루 또는 한 시간을 사는 것은 감옥에서 영원히 사는 것과 같은 가치가 있다.,에디슨,자유
1554,자유가 아니면 죽음을 달라.,페트릭 헨리,자유
1555,자제할 줄 모르는 사람을 자유인이라고 부를 수 없다.,피타고라스,"자유인, 자제"
1556,정치가의 주요한 자격은 웃는 얼굴로 대중 앞에 임한다든가 목소리로 국민들을 납득시킨다든가 친밀감이 드는 표정이나 어조가 필요하다. 그러나 이러한 일은 그의 선전 담당자의 손에 의해서 만들어지는 것이다.,E.H. 카아,정치가
1557,두 개의 얼굴을 가진 야누스신의 상이야말로 정치의 가장 심오한 현실을 표현한 것이다.,M. 듀버거,정치
1558,"자유는, 뿌리를 박기 시작하면, 빨리 자라는 식물과 같다.",조지 워싱턴,자유
1559,자유 없는 인간은 생명 없는 인간이라고 할 수밖에 없다.,톨스토이,"자유, 인간"
1560,"너무도 자유롭다는 것은, 좋은 것이 아니다. 모든 필요한 물건을 다 가진다는 것은 좋은 일이 아니다.",파스칼,"자유, 소유"
1561,나 한 사람의 인격이 바르고 건전하면 곧 우리 나라의 국력도 튼튼하고 건전한 것이 된다.,"때문에 우리 국민은 자기의 본분을 알고, 올바르고 건전한 인격을 닦아 강한 국력을 길러야 한다.","인격, 국력, 국가"
1562,나의 조국은 자유 없이는 존재할 수 없다.,루소,"자유, 국가"
1563,사람을 자유를 획득한 다음 상당한 세월이 경과한 다음이 아니면 자유를 사용하는 방법을 모른다.,마콜리,자유
1564,"뱃사람의 이야기는 폭풍의 이야기이고, 농부의 이야기는 자기 황소에 관한 것이며, 병정은 자기의 상처에 관해 이야기 하고, 목동은 자기의 양떼에 관해 이야기한다.",프로페르티우스,"이야기, 경험, 사람환경"
1565,모든 나라가 우리와 동일한 제도를 채용할 것을 기대할 수는 없다. 획일성은 자유를 가두는 형무관이며 성장의 적이기 때문이다.,J. 케네디,"획일성, 자유"
1566,"자유는 새로운 종교이며, 우리 시대의 종교이다.",하이네,"자유, 종교"
1567,"산이 금을 냄으로써 파헤쳐지고, 나무가 벌레를 끓게 함으로써 파먹히듯이, 사람은 자기가 저지른 일로 도리어 자신을 다치고 망친다.",『회남자』,"인생살이, 행동, 악행"
1568,"자기의 자유를 잃은 인간은 자기 자신의 본성에 배반하고, 신의 명령에도 배반한 인간이다.",마드지이니,"자유, 인간"
1569,자유 없는 곳에 인생의 가치는 없다. 자유를 희구하는 것이 인간의 의무이기도 하다.,푸슈킨,"자유, 인생"
1570,"하늘의 칼은 서둘러 찌르지 않으나, 우물쭈물하는 일도 없다.",단테,"심판, 신(god)"
1571,정의의 손에는 칼이 있을 수 없다.,유베날리스,정의
1572,"그 조상중에 한 사람의 노예가 없었던 제왕은 없으며, 그 조상중에 한 사람의 제왕이 없었던 노예도 없다.",헬렌 켈러,"노예, 제왕, 사람"
1573,"나는 당신 말은 찬성하지 않지만, 말할 권리는 절대 옹호한다.",볼테르,"말(say), 권리, 말(words)"
1574,어떤 문제도 올바르게 해결되기 전에는 결코 해결되지 않는다.,윌콕스,"문제, 해결"
1575,언론의 자유를 죽이는 것은 진리를 죽이는 것이다.,밀턴,"언론, 언론자유, 진리"
1576,자유 아닌 것을 자유라고 생각하는 인간만큼 노예적인 인간은 없다.,괴테,"자유, 생각"
1577,큰 권력을 가진 자는 그 권력을 가볍게 사용해야만 한다.,세네카,"권력, 지도자"
1578,정의 없는 곳에 자유는 없다. 자유 없는 곳에 정의도 있을 수 없다.,조이메,"정의, 자유"
1579,자유는 획득하는 것보다 간직하는 것이 더 어렵다.,J. C. 칼훈,자유
1580,"의식은 사치스럽기보다는 검소해야 하고, 장례는 절차보다는 슬퍼하는 마음이 있어야 한다.",공자,"의식, 장례"
1581,자유는 책임이다. 그래서 대부분의 사람들은 자유를 두려워 한다.,조지 버나드 쇼,"자유, 책임"
1582,자유의 감정만큼 우리들의 본질에서 떼어 놓기 어려운 것은 없다. 좋은 습성을 지닌 사람에서부터 야만인에 이르기까지 모든 인간은 차별없이 이 자유의 감정에 의하여 침투되어 있다.,프리드리히 大王,"자유, 감정"
1583,지성인은 자기의 마음으로 자기 자신을 망보는 사람이다.,알베르 카뮈,지성인
1584,"셋이 걸어 갈 적에 나는 반드시 두 사람의 스승을 발견했다. 왜냐하면 좋은 사람을 보고서는 그 사람을 본받으려고 하고, 변변치 못한 사람을 보고는 그 사람을 본받지 않고 나는 옳게 하리라고 마음먹기 때문이다.",공자,"스승, 배움"
1585,"사람이 아는 바는 모르는 것보다 아주 적으며, 사는 시간은 살지 않는 시간에 비교가 안될 만큼 아주 짧다. 이 지극히 작은 존재가 지극히 큰 범위의 것을 다 알려고 하기 때문에, 혼란에 빠져 도를 깨닫지 못한다.",장자,"사람, 도(道), 도(tao)"
1586,우정은 사랑받는 것보다 사랑하는 것이다.,아리스토텔레스,우정
1587,"교육은 하늘이 내린 가치를 높이고, 올바른 수련은 마음을 굳세게 한다.",호라티우스,"교육, 수련"
1588,인생의 최고의 목적은 인간으로서의 품성 인격을 만들고 몸을 건전하게 갖고 양심적으로 만들어 될 수 있는대로 잘 개발하는 데 있다.,스마일스,"인생, 인격"
1589,저절로 도리를 아는 사람은 상이다. 배워서 아는 사람은 그 다음이다. 곤란을 당한 뒤에 배우는 사람은 또 그 다음이다. 모르면서 배우지 아니하면 우민이라 하가 되는 것이다.,공자,"사람, 도리"
