,quote,author,categories
129,천하의 모든 물건 중에는 내 몸보다 더 소중한 것이 없다. 그런데 이 몸은 부모가 주신 것이다.,이이,"몸(body), 부모"
130,내 한몸은 곧 백천만대의 선조가 전한 것을 물려 받은 것이다. 그렇다면 감히 내 몸이 곧 나만의 소유라고 말하겠는가?,장현광,"몸(body), 조상, 소유"
131,"우리 나라의 신분 높은 선비는 큰 문벌이 있었다고 하더라도 고려 때 이전은 자세히 알 수가 없다. 예를 들어 이씨의 본관도, 비록 호적은 다르지만 그것이 중국의 여러 성처럼 정말 다른지, 아니면 함께 한 근원에서 나온 것인지를 알겠는가?",남계예설,"이씨, 성씨"
132,"한 번 생각에도 선조를 생각하여 선조의 마음에 어긋남이 있는가를 염려하고, 한 번 말할 때도 선조를 생각하여 선조의 덕망에 어긋남이 있는가를 염려하며, 한 번 움직일 때도 선조를 생각하여 선조의 행한 도리에 어긋남이 있는가를 염려하며, 전전긍긍하여 항상 깊은 연못에 다다르듯, 엷은 얼음을 밟아가는듯 조심하면 선조의 남긴 교훈의 품위를 떨어뜨리지 않게 되고, 선조들도 역시 훌륭한 자손을 두었다고 이를 것이다.",장현광,"조상, 선조, 공경"
133,남의 나쁜 점 꾸짖기를 너무 엄하게 하지 말라. 그 말을 받아서 감당할 수 있는가를 생각해야 한다. 남에게 착한 일 가르치기를 너무 높은 것으로써 하지 말라. 그 사람이 행할 수 있는 것으로써 해야 한다.,채근담,"가르침, 교육"
134,"사람이 아는 바는 모르는 것보다 아주 적으며, 사는 시간은 살지 않는 시간에 비교가 안될 만큼 아주 짧다. 이 지극히 작은 존재가 지극히 큰 범위의 것을 다 알려고 하기 때문에, 혼란에 빠져 도를 깨닫지 못한다.",장자,"사람, 앎, 지식, 도(道)"
135,조금을 알기 위해서 많이 공부해야 한다.,몽테스키외,"공부, 앎"
136,배우지 않으면 곧 늙고 쇠해진다.,주자,"배움, 공부, 노화"
137,책망이 칭찬보다 더 안전하다.,에머슨,"칭찬, 책망"
138,인간을 지력으로만 교육시키고 도덕으로 교육시키지 않는다면 사회에 대하여 위험을 기르는 것이 된다.,D. 루즈벨트,"교육, 도덕, 사회"
139,젊을 때에 배움을 소홀히 하는 자는 과거를 상실하고 미래도 없다.,에우리피데스,"배움, 젊음, 청년"
140,"사람에게는 세 가지 불행이 있다. 어린 시절에 높은 벼슬에 오름이 하나요, 부모의 세를 업고 고관이 됨이 둘이며, 뛰어난 재주가 있어 문장에 능함이 세째 불행이다.",소학,"사람, 불행, 관직"
141,언제까지 계속되는 불행이란 없다.,로맹 롤랑,불행
142,"행복의 원칙은 첫째 어떤 일을 할 것, 둘째 어떤 사람을 사랑할 것, 세째 어떤 일에 희망을 가질 것이다.",칸트,행복
143,행복을 즐겨야 할 시간은 지금이다. 행복을 즐겨야 할 장소는 여기다.,로버트 인젠솔,"행복, 지금, 현재"
144,"매일 아침, 매일 밤 태어나 비참하게 되는 자 있고, 매일 아침, 매일 밤 태어나 즐거워지는 이 있다.",W. 블레이크,"불행, 행복, 인생살이"
145,부자는 망해도 삼년 먹을 것이 있다.,한국 속담,부자
146,가난 구제는 나라도 못한다.,한국 속담,"가난, 국가"
147,돈은 밑없는 깊은 물속과 같다. 명예도 양심도 진리도 모두 그 속에 빠지고 만다.,카스레,"돈(money), 명예, 양심, 진리"
148,재물은 생활을 위한 방편일 뿐 그 자체가 목적이 될 수는 없다.,칸트,"재물, 생활"
149,나물 먹고 물 마시며 팔꿈치를 굽혀 베개로 삼아도 즐거움은 역시 그 가운데에 있다.,논어,"즐거움, 인생살이"
150,"가난하며 원망하지 않기 어렵고, 부자이면서 교만하지 않기 또한 쉬운 일이 아니다.",논어 헌문편,"가난, 원망, 부자, 교만"
151,빈곤은 가난하다고 느끼는 데서 존재한다.,에머슨,"빈곤, 가난"
152,"가난한 사람은 덕으로, 부자는 선으로 이름을 떨쳐라.",주베르,"빈자, 부자"
153,부자는 튼튼한 위를 가져야 한다.,W. 휘트먼,부자
154,"빈곤은 가진 것이 거의 없다는 뜻이 아니라, 많이 가지고 있지 않다는 뜻이다.",안티파테르,빈곤
155,빈곤은 재앙이 아니라 불편이다.,J. 플로리오,"빈곤, 가난"
156,"부란 분뇨와 같아서 그것이 축적되면 악취를 내고, 산포되면 땅을 비옥하게 한다.",톨스토이,부(wealth)
157,"부귀해지면 친척도 이것을 어려워하고, 빈천해지면 이를 업신여긴다.",소진,"부(wealth), 부귀, 친척"
158,불의로써 부하고 동시에 귀한 것은 둥둥 떠도는 구름과 같다.,공자,"부(wealth), 재물, 불의"
159,늘 재산이 없는 이는 늘 마음이 없다.,맹자,"재산, 마음"
160,재물은 우물과 같다. 퍼 쓸수록 자꾸 가득차고 이용하지 않으면 말라 버린다.,박제가,재물
161,사람은 일하기 위해서 창조되었다. 명상하고 느끼며 꿈꾸기 위해서만은 아니다.,토마스 칼라일,"사람, 일(work)"
162,노동은 모든 것을 정복한다.,베르길리우스,노동
163,"자기 아이에게 육체적인 노동을 가르치지 않는 것은 그에게 약탈, 강도 같은 것을 가르치는 것과 마찬가지이다.",탈무드,"자녀교육, 아이(child), 노동"
164,일이 즐겁다면 인생은 극락이다. 괴로움이라면 그것은 지옥이다.,고리키,"일(work), 직업"
165,"노동은 생활의 꽃이요, 삶의 보람이요, 마음의 기쁨이다.",W.NL. 영안,"노동, 일(work)"
166,굴러가는 돌에는 이끼가 끼지 않는다.,헤이우드,행동
167,백년을 살 것같이 일하고 내일 죽을 것같이 기도하라.,벤자민 프랭클린,"인생, 일(work), 기도"
168,육체적 노동은 정신적 고통을 해방시킨다. 그러므로 가난한 사람이 행복해진다.,라 로시푸코,"노동, 행복, 가난, 빈자"
169,수면은 노동하지 않아도 신이 우리들에게 주신 유일한 선물이다. 그러나 노동한다면 그것은 두 배나 달콤하게 된다.,웨벨,"수면, 노동, 신(god)"
170,세상에서 제일 즐겁고 훌륭한 일은 한 생애를 통해 일관된 일을 가지는 일이다.,올리버 골드스미스,"직업, 일(work)"
